timestamp,block,token,spread,profit
2025-05-02T23:21:53.843Z,22399353,USDC,1.5,0.001923
2025-05-02T23:21:54.199Z,22399353,DAI,1.5,0.002002
2025-05-02T23:21:54.488Z,22399353,UNI,1.5,0.000654
2025-05-02T23:21:54.725Z,22399353,WBTC,1.5,0.002067
2025-05-02T23:21:54.967Z,22399353,WETH,1.5,0.001158
2025-05-02T23:21:55.199Z,22399353,USDT,1.5,0.001806
2025-05-02T23:22:01.798Z,22399354,USDC,1.5,0.001447
2025-05-02T23:22:02.100Z,22399354,DAI,1.5,0.001194
2025-05-02T23:22:02.394Z,22399354,UNI,1.5,0.001252
2025-05-02T23:22:02.664Z,22399354,WBTC,1.5,0.001791
2025-05-02T23:22:02.911Z,22399354,WETH,1.5,0.00138
2025-05-02T23:22:03.198Z,22399354,USDT,1.5,0.001756
2025-05-02T23:22:13.819Z,22399355,USDC,1.5,0.001685
2025-05-02T23:22:14.305Z,22399355,DAI,1.5,0.001741
2025-05-02T23:22:14.568Z,22399355,UNI,1.5,0.001117
2025-05-02T23:22:14.881Z,22399355,WBTC,1.5,0.001801
2025-05-02T23:22:15.165Z,22399355,WETH,1.5,0.00168
2025-05-02T23:22:15.713Z,22399355,USDT,1.5,0.001374
2025-05-02T23:22:25.840Z,22399356,USDC,1.5,0.001439
2025-05-02T23:22:26.247Z,22399356,DAI,1.5,0.00132
2025-05-02T23:22:26.564Z,22399356,UNI,1.5,0.002493
2025-05-02T23:22:26.808Z,22399356,WBTC,1.5,0.001653
2025-05-02T23:22:27.142Z,22399356,WETH,1.5,0.001566
2025-05-02T23:22:27.702Z,22399356,USDT,1.5,0.000837
2025-05-02T23:22:37.870Z,22399357,USDC,1.5,0.002492
2025-05-02T23:22:38.309Z,22399357,DAI,1.5,0.002177
2025-05-02T23:22:38.654Z,22399357,UNI,1.5,0.001422
2025-05-02T23:22:38.880Z,22399357,WBTC,1.5,0.001653
2025-05-02T23:22:39.283Z,22399357,WETH,1.5,0.00156
2025-05-02T23:22:39.660Z,22399357,USDT,1.5,0.000867
